Watching for file changes with StatReloader
/home/wolf/Projekte/dev/venv/tourguidecambodia/tourguidecambodia/urls.py changed, reloading.
Watching for file changes with StatReloader
Watching for file changes with StatReloader
"GET /static/wagtailadmin/js/vendor/jquery-ui-1.12.1.min.js?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/css/core.css?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/js/vendor/jquery.datetimepicker.js?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/css/layouts/page-editor.css?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/js/vendor/bootstrap-transition.js?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/js/vendor/bootstrap-modal.js?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/js/vendor/bootstrap-tab.js?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/js/core.js?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/js/vendor/tag-it.js?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/js/vendor.js?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/js/modal-workflow.js?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/js/wagtailadmin.js?v=b7056808 HTTP/1.1" 304 0
"GET /media/images/AnkgorWat_panorama_dark.width-1368.max-165x165.jpg HTTP/1.1" 304 0
"GET /static/wagtailadmin/js/privacy-switch.js?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/images/wagtail-logo.svg?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/images/logo-body.svg?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/images/logo-eyeclosed.svg?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/images/logo-eyeopen.svg?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/images/logo-tail.svg?v=b7056808 HTTP/1.1" 304 0
"GET /static/wagtailadmin/fonts/robotoslab-regular.woff2 HTTP/1.1" 304 0
"GET /static/wagtailadmin/fonts/opensans-light.woff2 HTTP/1.1" 304 0
"GET /admin/pages/3/ HTTP/1.1" 200 33441
"GET /admin/api/main/pages/?child_of=1&for_explorer=1&fields=parent HTTP/1.1" 200 1510
"GET /admin/api/main/pages/?translation_of=3&limit=20&fields=parent&has_children=1 HTTP/1.1" 200 84
"GET /admin/api/main/pages/?child_of=3&for_explorer=1&fields=parent HTTP/1.1" 200 4268
"GET /admin/images/ HTTP/1.1" 200 26521
"GET /media/images/beautiful-bike-biker-2885429.max-165x165.max-165x165.jpg HTTP/1.1" 304 0
"GET /media/images/Siem_Reap_locator_map.2e16d0ba.fill-100x100.max-165x165.png HTTP/1.1" 304 0
"GET /media/images/adult-casual-close-up-2857942.2e16d0ba.fill-.max-165x165_JEvzwOf.jpg HTTP/1.1" 304 0
"GET /media/images/adult-casual-close-up-2857942.2e16d0ba.fill-.max-165x165_6ifRIkM.jpg HTTP/1.1" 304 0
"GET /media/images/Battambang_locator_map.max-165x165.max-165x165.png HTTP/1.1" 304 0
"GET /media/images/adult-casual-close-up-2857942.2e16d0ba.fill-.max-165x165_QoSOCqV.jpg HTTP/1.1" 304 0
"GET /media/images/blurred-background-casual-close-up.2e16d0ba..max-165x165.jpg HTTP/1.1" 304 0
